"","SPECIES","YEAR","REGION","DISTRICT","TOTAL_AREA","CATEGORY","SEX_TEXT","ABUNDANCE","ABUNDANCE_CV","ABUNDANCE_CI","BIOMASS_MT","BIOMASS_MT_CV","BIOMASS_MT_CI","BIOMASS_LBS","BIOMASS_LBS_CV","BIOMASS_LBS_CI"
"1","HYBRID",1980,"EBS","ALL",128721,"immature_female","female",621051.495043525,0.611304348041628,744116.899384607,85.1984315879328,0.617283694961534,103.079541204832,187830.389624794,0.617283694961534,227251.488389969
"2","HYBRID",1980,"EBS","ALL",128721,"mature_female","female",8482565.70622153,0.672317482622397,11177835.3547004,1316.786369138,0.658347789092527,1699.13065386519,2903017.01754378,0.658347789092527,3745941.87698795
"3","HYBRID",1981,"EBS","ALL",119097,"immature_female","female",111239.828116342,0.716963769522002,156319.655915053,12.2987203839371,0.719355397666029,17.3404157494379,27114.0371782207,0.719355397666029,38229.0728334741
"4","HYBRID",1981,"EBS","ALL",119097,"mature_female","female",1753247.78209264,0.64574895975073,2219029.54568433,244.118404710578,0.652369536086761,312.140604445309,538188.957434581,0.652369536086761,688152.237757685
"5","HYBRID",1982,"EBS","ALL",132330,"immature_female","female",116214.014261354,0.606166419048551,138072.264421402,17.2186881004691,0.583013785885179,19.675915773364,37960.709304853,0.583013785885179,43377.9690195498
"6","HYBRID",1982,"EBS","ALL",132330,"mature_female","female",33870443.6227786,0.436811598543529,28998205.139599,4838.28290532404,0.426405159384253,4043.61483504598,10666587.9439817,0.426405159384253,8914644.73938577
"7","HYBRID",1983,"EBS","ALL",131528,"immature_female","female",37858.3946390202,1,74202.4534924796,4.0925679217232,1,8.02143312657747,9022.56782168369,1,17684.2329305
"8","HYBRID",1983,"EBS","ALL",131528,"mature_female","female",2370824.90128832,0.462444884309276,2148896.66049991,333.618842255819,0.474914176358974,310.543022668003,735503.646712184,0.474914176358974,684630.172831184
"9","HYBRID",1984,"EBS","ALL",132330,"immature_female","female",66030.4353135984,0.710156708881405,91908.2349914905,7.76924353811644,0.705992731473013,10.7506577552296,17128.2500587841,0.705992731473013,23701.1432869334
"10","HYBRID",1984,"EBS","ALL",132330,"mature_female","female",2966361.55098241,0.574445137645849,3339863.46014443,441.904317296357,0.533009461647338,461.65679723306,974232.254604199,0.533009461647338,1017779.01871027
"11","HYBRID",1985,"EBS","ALL",131528,"immature_female","female",0,0,0,0,0,0,0,0,0
"12","HYBRID",1985,"EBS","ALL",131528,"mature_female","female",1183715.23519822,0.624868555667266,1449746.20150571,166.81968564492,0.626511501835272,204.848325506611,367774.452742497,0.626511501835272,451613.252459721
"13","HYBRID",1986,"EBS","ALL",131528,"immature_female","female",89054.2781834891,0.57597923088382,100535.092723878,10.2443011900465,0.575990553002107,11.5652165868471,22584.8181486092,0.575990553002107,25496.9381139441
"14","HYBRID",1986,"EBS","ALL",131528,"mature_female","female",158117.211943147,0.487051387684735,150941.966687752,23.4832197472418,0.4912299720423,22.6098963046055,51771.6374886157,0.4912299720423,49846.2888707889
"15","HYBRID",1987,"EBS","ALL",135137,"immature_female","female",2812432.93239179,0.335644425061574,1850195.77184908,328.259200698833,0.327676934785548,210.823418652289,723687.659690653,0.327676934785548,464786.077976337
"16","HYBRID",1987,"EBS","ALL",135137,"mature_female","female",885488.098167984,0.31410712519077,545150.716976128,127.502383779912,0.307268922557186,76.7879393715515,281094.639620841,0.307268922557186,169288.428223677
"17","HYBRID",1988,"EBS","ALL",140350,"immature_female","female",1484635.90607468,0.344865833966595,1003520.39177499,166.600607399465,0.348241936041306,113.713943410236,367291.46788661,0.348241936041306,250696.332061841
"18","HYBRID",1988,"EBS","ALL",140350,"mature_female","female",17523775.2904067,0.479196731808787,16458778.2623044,2901.06056489513,0.490578969180769,2789.47063085618,6395743.74872127,0.490578969180769,6149730.05576837
"19","HYBRID",1989,"EBS","ALL",140350,"immature_female","female",57313.5736391729,0.707940146292024,79526.1762250041,6.32111697810808,0.708712974683837,8.78052092908379,13935.6774852896,0.708712974683837,19357.735071875
"20","HYBRID",1989,"EBS","ALL",140350,"mature_female","female",2293539.00860997,0.409942274466283,1842828.45162276,381.077972150068,0.436163778243566,325.776319951205,840133.118090308,0.436163778243566,718213.84462708
"21","HYBRID",1990,"EBS","ALL",140350,"immature_female","female",1484375.34636948,0.705138754767322,2051513.54335873,189.181180303636,0.702724897906144,260.566958204687,417073.109725452,0.702724897906144,574451.810564385
